Source,Target,Type,Id,Label,timeset,Weight,,,Id,Label
New York Times,census.gov,Directed,0,,,46,,if=,1,New York Times
New York Times,Pew Research,Directed,1,,,16,,,2,Washington Post
New York Times,NPR,Directed,2,,,4,,,6,LA Times
New York Times,Politico,Directed,3,,,4,,,26,The Sacramento Bee
New York Times,The Atlantic,Directed,4,,,4,,,28,Miami Herald
New York Times,factfinder.census.gov,Directed,5,,,3,,,101,Washington Times
New York Times,commerce.gov,Directed,6,,,3,,,1095,CNN
New York Times,Washington Post,Directed,7,,,2,,,1096,NPR
New York Times,propublica.org,Directed,8,,,2,,,1110,The Atlantic
New York Times,brookings.edu,Directed,9,,,2,,,1112,Mother Jones
New York Times,sfchronicle.com,Directed,10,,,2,,,1150,Wall Street Journal
New York Times,citylab.com,Directed,11,,,2,,,1751,Guardian US
New York Times,wnymedia.net,Directed,12,,,2,,,1752,cbs news
New York Times,Twitter,Directed,13,,,1,,,1755,CNBC
New York Times,Huffington Post,Directed,14,,,1,,,4442,Reuters
New York Times,bls.gov,Directed,15,,,1,,,5915,FiveThirtyEight
New York Times,ballotpedia.org,Directed,16,,,1,,,18268,Politico
New York Times,Guardian US,Directed,17,,,1,,,18346,Twitter
New York Times,Economic Policy Institute,Directed,18,,,1,,,18362,YouTube
New York Times,Vox,Directed,19,,,1,,,18364,The Hill
New York Times,Brennan Center for Justice,Directed,20,,,1,,,18370,Wikipedia
New York Times,CNBC,Directed,21,,,1,,,18391,Politifact
New York Times,The Sacramento Bee,Directed,22,,,1,,,19115,brookings.edu
Washington Post,census.gov,Directed,23,,,114,,,19334,Breitbart
Washington Post,Pew Research,Directed,24,,,23,,,19849,bls.gov
Washington Post,New York Times,Directed,25,,,23,,,20036,heritage.org
Washington Post,Twitter,Directed,26,,,22,,,20076,commerce.gov
Washington Post,NPR,Directed,27,,,14,,,20357,CNS News
Washington Post,propublica.org,Directed,28,,,14,,,20397,documentcloud.org
Washington Post,factfinder.census.gov,Directed,29,,,11,,,20548,Texas Tribune
Washington Post,Mother Jones,Directed,30,,,11,,,22341,census.gov
Washington Post,documentcloud.org,Directed,31,,,9,,,25030,civilrights.org
Washington Post,CNN,Directed,32,,,8,,,25316,Pew Research
Washington Post,brookings.edu,Directed,33,,,8,,,25499,NBC News
Washington Post,The Atlantic,Directed,34,,,8,,,25797,wnymedia.net
Washington Post,18364,Directed,35,,,6,,,27107,ballotpedia.org
Washington Post,bls.gov,Directed,36,,,6,,,27440,Brennan Center for Justice
Washington Post,ballotpedia.org,Directed,37,,,6,,,27483,Economic Policy Institute
Washington Post,FiveThirtyEight,Directed,38,,,6,,,27502,Huffington Post
Washington Post,The Conversation US,Directed,39,,,5,,,35065,cis.org
Washington Post,Politico,Directed,40,,,4,,,54346,The Conversation US
Washington Post,YouTube,Directed,41,,,3,,,64866,USAToday
Washington Post,sfchronicle.com,Directed,42,,,3,,,104828,Vox
Washington Post,Guardian US,Directed,43,,,3,,,105554,citylab.com
Washington Post,Vox,Directed,44,,,3,,,195157,factfinder.census.gov
Washington Post,journals.sagepub.com,Directed,45,,,3,,,348022,Google Noticias
Washington Post,cis.org,Directed,46,,,2,,,361729,journals.sagepub.com
Washington Post,The Sacramento Bee,Directed,47,,,2,,,366874,propublica.org
Washington Post,CNBC,Directed,48,,,2,,,367328,sfchronicle.com
Washington Post,Politifact,Directed,49,,,2,,,576929,democraticredistricting.com
Washington Post,democraticredistricting.com,Directed,50,,,2,,,,
Washington Post,civilrights.org,Directed,51,,,2,,,,
Washington Post,Wikipedia,Directed,52,,,1,,,,
Washington Post,Huffington Post,Directed,53,,,1,,,,
Washington Post,USA Today,Directed,54,,,1,,,,
Washington Post,Economic Policy Institute,Directed,55,,,1,,,,
Washington Post,citylab.com,Directed,56,,,1,,,,
Washington Post,Brennan Center for Justice,Directed,57,,,1,,,,
Washington Post,Reuters,Directed,58,,,1,,,,
Washington Post,wnymedia.net,Directed,59,,,1,,,,
Washington Post,Washington Times,Directed,60,,,1,,,,
LA Times,census.gov,Directed,61,,,6,,,,
LA Times,Pew Research,Directed,62,,,3,,,,
LA Times,New York Times,Directed,63,,,1,,,,
LA Times,documentcloud.org,Directed,64,,,1,,,,
LA Times,Politico,Directed,65,,,1,,,,
LA Times,YouTube,Directed,66,,,1,,,,
LA Times,commerce.gov,Directed,67,,,1,,,,
The Sacramento Bee,census.gov,Directed,68,,,15,,,,
The Sacramento Bee,New York Times,Directed,69,,,3,,,,
The Sacramento Bee,factfinder.census.gov,Directed,70,,,2,,,,
The Sacramento Bee,Washington Post,Directed,71,,,2,,,,
The Sacramento Bee,Huffington Post,Directed,72,,,2,,,,
The Sacramento Bee,Politico,Directed,73,,,2,,,,
The Sacramento Bee,brookings.edu,Directed,74,,,2,,,,
The Sacramento Bee,The Sacramento Bee,Directed,75,,,2,,,,
The Sacramento Bee,Brennan Center for Justice,Directed,76,,,2,,,,
The Sacramento Bee,Wikipedia,Directed,77,,,1,,,,
The Sacramento Bee,propublica.org,Directed,78,,,1,,,,
The Sacramento Bee,ballotpedia.org,Directed,79,,,1,,,,
The Sacramento Bee,commerce.gov,Directed,80,,,1,,,,
The Sacramento Bee,heritage.gov,Directed,81,,,1,,,,
The Sacramento Bee,Politifact,Directed,82,,,1,,,,
The Sacramento Bee,Miami Heral,Directed,83,,,1,,,,
Miami Heral,census.gov,Directed,84,,,16,,,,
Miami Heral,factfinder.census.gov,Directed,85,,,2,,,,
Miami Heral,Washington Post,Directed,86,,,2,,,,
Miami Heral,Huffington Post,Directed,87,,,2,,,,
Miami Heral,Brennan Center for Justice,Directed,88,,,2,,,,
Miami Heral,Wikipedia,Directed,89,,,1,,,,
Miami Heral,Pew Research,Directed,90,,,1,,,,
Miami Heral,New York Times,Directed,91,,,1,,,,
Miami Heral,documentcloud.org,Directed,92,,,1,,,,
Miami Heral,cis.org,Directed,93,,,1,,,,
Miami Heral,ballotpedia.org,Directed,94,,,1,,,,
Miami Heral,heritage.gov,Directed,95,,,1,,,,
Miami Heral,The Sacramento Bee,Directed,96,,,1,,,,
Washington Times,Twitter,Directed,97,,,2,,,,
Washington Times,census.gov,Directed,98,,,1,,,,
Washington Times,Pew Research,Directed,99,,,1,,,,
Washington Times,brookings.edu,Directed,100,,,1,,,,
Washington Times,sfchronicle.com,Directed,101,,,1,,,,
Washington Times,The Conversation US,Directed,102,,,1,,,,
Washington Times,NBC News,Directed,103,,,1,,,,
CNN,census.gov,Directed,104,,,81,,,,
CNN,Pew Research,Directed,105,,,14,,,,
CNN,New York Times,Directed,106,,,11,,,,
CNN,factfinder.census.gov,Directed,107,,,6,,,,
CNN,propublica.org,Directed,108,,,5,,,,
CNN,brookings.edu,Directed,109,,,5,,,,
CNN,Twitter,Directed,110,,,4,,,,
CNN,Washington Post,Directed,111,,,4,,,,
CNN,documentcloud.org,Directed,112,,,3,,,,
CNN,sfchronicle.com,Directed,113,,,3,,,,
CNN,FiveThirtyEight,Directed,114,,,3,,,,
CNN,NPR,Directed,115,,,2,,,,
CNN,18364,Directed,116,,,2,,,,
CNN,CNBC,Directed,117,,,2,,,,
CNN,Reuters,Directed,118,,,2,,,,
CNN,The Atlantic,Directed,119,,,1,,,,
CNN,commerce.gov,Directed,120,,,1,,,,
CNN,The Sacramento Bee,Directed,121,,,1,,,,
CNN,Economic Policy Institute,Directed,122,,,1,,,,
CNN,Vox,Directed,123,,,1,,,,
CNN,citylab.com,Directed,124,,,1,,,,
CNN,NBC News,Directed,125,,,1,,,,
CNN,1755,Directed,126,,,1,,,,
CNN,Wall Street Journal,Directed,127,,,1,,,,
CNN,Politifact,Directed,128,,,1,,,,
CNN,Google Noticias,Directed,129,,,1,,,,
NPR,census.gov,Directed,130,,,43,,,,
NPR,documentcloud.org,Directed,131,,,18,,,,
NPR,Pew Research,Directed,132,,,6,,,,
NPR,Twitter,Directed,133,,,4,,,,
NPR,CNN,Directed,134,,,2,,,,
NPR,commerce.gov,Directed,135,,,2,,,,
NPR,1755,Directed,136,,,2,,,,
NPR,factfinder.census.gov,Directed,137,,,1,,,,
NPR,Washington Post,Directed,138,,,1,,,,
NPR,propublica.org,Directed,139,,,1,,,,
NPR,brookings.edu,Directed,140,,,1,,,,
NPR,YouTube,Directed,141,,,1,,,,
NPR,bls.gov,Directed,142,,,1,,,,
NPR,Brennan Center for Justice,Directed,143,,,1,,,,
NPR,wnymedia.net,Directed,144,,,1,,,,
NPR,Texas Tribune,Directed,145,,,1,,,,
NPR,Google Noticias,Directed,146,,,1,,,,
NPR,civilrights.org,Directed,147,,,1,,,,
The Atlantic,census.gov,Directed,148,,,27,,,,
The Atlantic,citylab.com,Directed,149,,,8,,,,
The Atlantic,Washington Post,Directed,150,,,6,,,,
The Atlantic,brookings.edu,Directed,151,,,6,,,,
The Atlantic,New York Times,Directed,152,,,5,,,,
The Atlantic,documentcloud.org,Directed,153,,,5,,,,
The Atlantic,CNN,Directed,154,,,5,,,,
The Atlantic,Pew Research,Directed,155,,,4,,,,
The Atlantic,journals.sagepub.com,Directed,156,,,4,,,,
The Atlantic,propublica.org,Directed,157,,,3,,,,
The Atlantic,Breitbart,Directed,158,,,3,,,,
The Atlantic,sfchronicle.com,Directed,159,,,3,,,,
The Atlantic,Brennan Center for Justice,Directed,160,,,3,,,,
The Atlantic,factfinder.census.gov,Directed,161,,,2,,,,
The Atlantic,NPR,Directed,162,,,2,,,,
The Atlantic,Huffington Post,Directed,163,,,2,,,,
The Atlantic,18364,Directed,164,,,2,,,,
The Atlantic,FiveThirtyEight,Directed,165,,,2,,,,
The Atlantic,Twitter,Directed,166,,,1,,,,
The Atlantic,Wikipedia,Directed,167,,,1,,,,
The Atlantic,Mother Jones,Directed,168,,,1,,,,
The Atlantic,Politico,Directed,169,,,1,,,,
The Atlantic,bls.gov,Directed,170,,,1,,,,
The Atlantic,ballotpedia.org,Directed,171,,,1,,,,
The Atlantic,Guardian US,Directed,172,,,1,,,,
The Atlantic,Economic Policy Institute,Directed,173,,,1,,,,
The Atlantic,1755,Directed,174,,,1,,,,
The Atlantic,Google Noticias,Directed,175,,,1,,,,
Mother Jones,Twitter,Directed,176,,,43,,,,
Mother Jones,census.gov,Directed,177,,,38,,,,
Mother Jones,Washington Post,Directed,178,,,32,,,,
Mother Jones,propublica.org,Directed,179,,,14,,,,
Mother Jones,New York Times,Directed,180,,,13,,,,
Mother Jones,Huffington Post,Directed,181,,,10,,,,
Mother Jones,Politico,Directed,182,,,8,,,,
Mother Jones,YouTube,Directed,183,,,6,,,,
Mother Jones,Pew Research,Directed,184,,,4,,,,
Mother Jones,NPR,Directed,185,,,4,,,,
Mother Jones,wnymedia.net,Directed,186,,,4,,,,
Mother Jones,Breitbart,Directed,187,,,3,,,,
Mother Jones,documentcloud.org,Directed,188,,,2,,,,
Mother Jones,CNN,Directed,189,,,2,,,,
Mother Jones,brookings.edu,Directed,190,,,2,,,,
Mother Jones,sfchronicle.com,Directed,191,,,2,,,,
Mother Jones,Guardian US,Directed,192,,,2,,,,
Mother Jones,CNBC,Directed,193,,,2,,,,
Mother Jones,Texas Tribune,Directed,194,,,2,,,,
Mother Jones,civilrights.org,Directed,195,,,2,,,,
Mother Jones,cis.org,Directed,196,,,1,,,,
Mother Jones,The Atlantic,Directed,197,,,1,,,,
Mother Jones,bls.gov,Directed,198,,,1,,,,
Mother Jones,The Sacramento Bee,Directed,199,,,1,,,,
Mother Jones,Vox,Directed,200,,,1,,,,
Mother Jones,citylab.com,Directed,201,,,1,,,,
Mother Jones,Brennan Center for Justice,Directed,202,,,1,,,,
Mother Jones,Reuters,Directed,203,,,1,,,,
Wall Street Journal,census.gov,Directed,204,,,25,,,,
Wall Street Journal,Pew Research,Directed,205,,,9,,,,
Wall Street Journal,Twitter,Directed,206,,,6,,,,
Wall Street Journal,The Conversation US,Directed,207,,,2,,,,
Wall Street Journal,New York Times,Directed,208,,,1,,,,
Wall Street Journal,propublica.org,Directed,209,,,1,,,,
Wall Street Journal,sfchronicle.com,Directed,210,,,1,,,,
Wall Street Journal,Economic Policy Institute,Directed,211,,,1,,,,
Wall Street Journal,citylab.com,Directed,212,,,1,,,,
Wall Street Journal,Miami Heral,Directed,213,,,1,,,,
Guardian US,census.gov,Directed,214,,,10,,,,
Guardian US,Twitter,Directed,215,,,6,,,,
Guardian US,factfinder.census.gov,Directed,216,,,3,,,,
Guardian US,Pew Research,Directed,217,,,3,,,,
Guardian US,New York Times,Directed,218,,,3,,,,
Guardian US,Wikipedia,Directed,219,,,1,,,,
Guardian US,Washington Post,Directed,220,,,1,,,,
Guardian US,NPR,Directed,221,,,1,,,,
Guardian US,CNN,Directed,222,,,1,,,,
Guardian US,brookings.edu,Directed,223,,,1,,,,
Guardian US,YouTube,Directed,224,,,1,,,,
Guardian US,The Sacramento Bee,Directed,225,,,1,,,,
Guardian US,The Conversation US,Directed,226,,,1,,,,
Guardian US,FiveThirtyEight,Directed,227,,,1,,,,
Guardian US,Politifact,Directed,228,,,1,,,,
CNBC,census.gov,Directed,229,,,5,,,,
CNBC,Twitter,Directed,230,,,2,,,,
CNBC,YouTube,Directed,231,,,1,,,,
CNBC,bls.gov,Directed,232,,,1,,,,
CNBC,commerce.gov,Directed,233,,,1,,,,
CNBC,Wall Street Journal,Directed,234,,,1,,,,
1755,census.gov,Directed,235,,,31,,,,
1755,Twitter,Directed,236,,,4,,,,
1755,Pew Research,Directed,237,,,3,,,,
1755,New York Times,Directed,238,,,3,,,,
1755,Vox,Directed,239,,,3,,,,
1755,factfinder.census.gov,Directed,240,,,1,,,,
1755,propublica.org,Directed,241,,,1,,,,
1755,18364,Directed,242,,,1,,,,
1755,USA Today,Directed,243,,,1,,,,
1755,FiveThirtyEight,Directed,244,,,1,,,,
Reuters,New York Times,Directed,245,,,1,,,,
Reuters,Wall Street Journal,Directed,246,,,1,,,,
FiveThirtyEight,census.gov,Directed,247,,,42,,,,
FiveThirtyEight,New York Times,Directed,248,,,8,,,,
FiveThirtyEight,Wikipedia,Directed,249,,,7,,,,
FiveThirtyEight,ballotpedia.org,Directed,250,,,6,,,,
FiveThirtyEight,Twitter,Directed,251,,,3,,,,
FiveThirtyEight,Washington Post,Directed,252,,,3,,,,
FiveThirtyEight,factfinder.census.gov,Directed,253,,,2,,,,
FiveThirtyEight,Pew Research,Directed,254,,,2,,,,
FiveThirtyEight,NPR,Directed,255,,,2,,,,
FiveThirtyEight,Vox,Directed,256,,,2,,,,
FiveThirtyEight,CNN,Directed,257,,,1,,,,
FiveThirtyEight,propublica.org,Directed,258,,,1,,,,
FiveThirtyEight,brookings.edu,Directed,259,,,1,,,,
FiveThirtyEight,The Atlantic,Directed,260,,,1,,,,
FiveThirtyEight,commerce.gov,Directed,261,,,1,,,,
FiveThirtyEight,Economic Policy Institute,Directed,262,,,1,,,,
FiveThirtyEight,citylab.com,Directed,263,,,1,,,,
FiveThirtyEight,NBC News,Directed,264,,,1,,,,
FiveThirtyEight,CNBC,Directed,265,,,1,,,,
FiveThirtyEight,democraticredistricting.com,Directed,266,,,1,,,,
Politico,census.gov,Directed,267,,,7,,,,
Politico,New York Times,Directed,268,,,4,,,,
Politico,Washington Post,Directed,269,,,4,,,,
Politico,Huffington Post,Directed,270,,,2,,,,
Politico,propublica.org,Directed,271,,,2,,,,
Politico,Mother Jones,Directed,272,,,2,,,,
Politico,sfchronicle.com,Directed,273,,,2,,,,
Politico,factfinder.census.gov,Directed,274,,,1,,,,
Politico,Pew Research,Directed,275,,,1,,,,
Politico,NPR,Directed,276,,,1,,,,
Politico,brookings.edu,Directed,277,,,1,,,,
Politico,The Sacramento Bee,Directed,278,,,1,,,,
Twitter,18364,Directed,279,,,22,,,,
Twitter,census.gov,Directed,280,,,16,,,,
Twitter,New York Times,Directed,281,,,7,,,,
Twitter,Mother Jones,Directed,282,,,7,,,,
Twitter,NPR,Directed,283,,,5,,,,
Twitter,CNN,Directed,284,,,4,,,,
Twitter,wnymedia.net,Directed,285,,,4,,,,
Twitter,Breitbart,Directed,286,,,3,,,,
Twitter,commerce.gov,Directed,287,,,3,,,,
Twitter,Texas Tribune,Directed,288,,,3,,,,
Twitter,Washington Post,Directed,289,,,2,,,,
Twitter,propublica.org,Directed,290,,,2,,,,
Twitter,The Atlantic,Directed,291,,,2,,,,
Twitter,sfchronicle.com,Directed,292,,,2,,,,
Twitter,The Sacramento Bee,Directed,293,,,2,,,,
Twitter,Washington Times,Directed,294,,,2,,,,
Twitter,democraticredistricting.com,Directed,295,,,2,,,,
Twitter,documentcloud.org,Directed,296,,,1,,,,
Twitter,Huffington Post,Directed,297,,,1,,,,
Twitter,cis.org,Directed,298,,,1,,,,
Twitter,YouTube,Directed,299,,,1,,,,
Twitter,NBC News,Directed,300,,,1,,,,
Twitter,Wall Street Journal,Directed,301,,,1,,,,
Twitter,The Sacramento Bee,Directed,302,,,1,,,,
18364,Twitter,Directed,303,,,38,,,,
18364,census.gov,Directed,304,,,13,,,,
18364,New York Times,Directed,305,,,7,,,,
18364,NPR,Directed,306,,,6,,,,
18364,The Atlantic,Directed,307,,,4,,,,
18364,Washington Post,Directed,308,,,2,,,,
18364,Politico,Directed,309,,,2,,,,
18364,sfchronicle.com,Directed,310,,,2,,,,
18364,NBC News,Directed,311,,,2,,,,
